"행정구역(동읍면)별","5세별","항목","단위","2023.12 월","2024.01 월","2024.02 월",
"경상북도","계","총인구수[명]","명","2554324","2551370","2548440",
"경상북도","계","남자인구수[명]","명","1290298","1288999","1287853",
"경상북도","계","여자인구수[명]","명","1264026","1262371","1260587",
"경상북도","0 - 4세","총인구수[명]","명","59519","58980","58487",
"경상북도","0 - 4세","남자인구수[명]","명","30559","30258","30029",
"경상북도","0 - 4세","여자인구수[명]","명","28960","28722","28458",
"경상북도","5 - 9세","총인구수[명]","명","92407","91710","91023",
"경상북도","5 - 9세","남자인구수[명]","명","47533","47180","46862",
"경상북도","5 - 9세","여자인구수[명]","명","44874","44530","44161",
"경상북도","10 - 14세","총인구수[명]","명","108925","108784","108715",
"경상북도","10 - 14세","남자인구수[명]","명","56562","56446","56416",
"경상북도","10 - 14세","여자인구수[명]","명","52363","52338","52299",
"경상북도","15 - 19세","총인구수[명]","명","108386","108524","108103",
"경상북도","15 - 19세","남자인구수[명]","명","57113","57308","57177",
"경상북도","15 - 19세","여자인구수[명]","명","51273","51216","50926",
"경상북도","20 - 24세","총인구수[명]","명","120289","119259","117982",
"경상북도","20 - 24세","남자인구수[명]","명","68500","67935","67251",
"경상북도","20 - 24세","여자인구수[명]","명","51789","51324","50731",
"경상북도","25 - 29세","총인구수[명]","명","127966","127333","126601",
"경상북도","25 - 29세","남자인구수[명]","명","73633","73315","72837",
"경상북도","25 - 29세","여자인구수[명]","명","54333","54018","53764",
"경상북도","30 - 34세","총인구수[명]","명","128262","128177","127861",
"경상북도","30 - 34세","남자인구수[명]","명","71128","71124","71055",
"경상북도","30 - 34세","여자인구수[명]","명","57134","57053","56806",
"경상북도","35 - 39세","총인구수[명]","명","130892","130073","129328",
"경상북도","35 - 39세","남자인구수[명]","명","69578","69202","68935",
"경상북도","35 - 39세","여자인구수[명]","명","61314","60871","60393",
"경상북도","40 - 44세","총인구수[명]","명","178092","177344","176960",
"경상북도","40 - 44세","남자인구수[명]","명","92659","92322","92200",
"경상북도","40 - 44세","여자인구수[명]","명","85433","85022","84760",
"경상북도","45 - 49세","총인구수[명]","명","179274","178768","178361",
"경상북도","45 - 49세","남자인구수[명]","명","93365","92996","92702",
"경상북도","45 - 49세","여자인구수[명]","명","85909","85772","85659",
"경상북도","50 - 54세","총인구수[명]","명","219007","218852","218733",
"경상북도","50 - 54세","남자인구수[명]","명","114133","114013","114030",
"경상북도","50 - 54세","여자인구수[명]","명","104874","104839","104703",
"경상북도","55 - 59세","총인구수[명]","명","225700","226188","226753",
"경상북도","55 - 59세","남자인구수[명]","명","116340","116681","116919",
"경상북도","55 - 59세","여자인구수[명]","명","109360","109507","109834",
"경상북도","60 - 64세","총인구수[명]","명","245119","244672","244644",
"경상북도","60 - 64세","남자인구수[명]","명","124507","124322","124367",
"경상북도","60 - 64세","여자인구수[명]","명","120612","120350","120277",
"경상북도","65 - 69세","총인구수[명]","명","204308","205301","206077",
"경상북도","65 - 69세","남자인구수[명]","명","102082","102548","102942",
"경상북도","65 - 69세","여자인구수[명]","명","102226","102753","103135",
"경상북도","70 - 74세","총인구수[명]","명","149037","149391","149681",
"경상북도","70 - 74세","남자인구수[명]","명","70824","71055","71188",
"경상북도","70 - 74세","여자인구수[명]","명","78213","78336","78493",
"경상북도","75 - 79세","총인구수[명]","명","103909","104489","105030",
"경상북도","75 - 79세","남자인구수[명]","명","46265","46657","47003",
"경상북도","75 - 79세","여자인구수[명]","명","57644","57832","58027",
"경상북도","80 - 84세","총인구수[명]","명","95612","95212","95054",
"경상북도","80 - 84세","남자인구수[명]","명","34751","34625","34672",
"경상북도","80 - 84세","여자인구수[명]","명","60861","60587","60382",
"경상북도","85 - 89세","총인구수[명]","명","54388","54740","55171",
"경상북도","85 - 89세","남자인구수[명]","명","15935","16090","16278",
"경상북도","85 - 89세","여자인구수[명]","명","38453","38650","38893",
"경상북도","90 - 94세","총인구수[명]","명","18784","19060","19317",
"경상북도","90 - 94세","남자인구수[명]","명","4131","4202","4262",
"경상북도","90 - 94세","여자인구수[명]","명","14653","14858","15055",
"경상북도","95 - 99세","총인구수[명]","명","3883","3942","3985",
"경상북도","95 - 99세","남자인구수[명]","명","646","666","673",
"경상북도","95 - 99세","여자인구수[명]","명","3237","3276","3312",
"경상북도","100+","총인구수[명]","명","565","571","574",
"경상북도","100+","남자인구수[명]","명","54","54","55",
"경상북도","100+","여자인구수[명]","명","511","517","519",
"포항시","계","총인구수[명]","명","493033","492949","492663",
"포항시","계","남자인구수[명]","명","250242","250223","250146",
"포항시","계","여자인구수[명]","명","242791","242726","242517",
"포항시","0 - 4세","총인구수[명]","명","12069","11998","11936",
"포항시","0 - 4세","남자인구수[명]","명","6216","6160","6133",
"포항시","0 - 4세","여자인구수[명]","명","5853","5838","5803",
"포항시","5 - 9세","총인구수[명]","명","20091","19963","19864",
"포항시","5 - 9세","남자인구수[명]","명","10486","10418","10371",
"포항시","5 - 9세","여자인구수[명]","명","9605","9545","9493",
"포항시","10 - 14세","총인구수[명]","명","23741","23742","23737",
"포항시","10 - 14세","남자인구수[명]","명","12352","12337","12360",
"포항시","10 - 14세","여자인구수[명]","명","11389","11405","11377",
